,id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId,exchangeHomePercent,exchangeAwayPercent,spread,kellyProportionHome,kellyProportionAway,betSize,winnings,return,betTeam
53,54,9,15,3.0,4.0,0.0,2017-04-21,Washington Nationals,New York Mets,0.52,0.48,0.7,1,1.2,1.0,0.5882352941176471,0.45454545454545453,0.04278074866310155,0.0,0.0,0.0,0.0,0.0,
54,55,21,4,3.0,6.0,0.0,2017-04-21,Houston Astros,Tampa Bay Rays,0.5,0.5,1.0,1,0.83,1.0,0.5,0.5464480874316939,0.04644808743169393,0.0,0.0,0.0,0.0,0.0,
55,56,13,20,6.0,2.0,1.0,2017-04-21,Kansas City Royals,Texas Rangers,0.61,0.39,0.62,1,1.35,1.0,0.6172839506172839,0.425531914893617,0.042815865510901,0.0,0.0,0.0,0.0,0.0,
56,57,5,7,0.0,3.0,0.0,2017-04-21,Cleveland Indians,Chicago White Sox,0.42,0.58,1.25,1,0.67,1.0,0.4444444444444444,0.5988023952095809,0.043246839654025315,0.0,0.0,0.0,0.0,0.0,
57,58,3,2,3.0,6.0,0.0,2017-04-21,St. Louis Cardinals,Milwaukee Brewers,0.54,0.46,1.0,1,0.83,1.0,0.5,0.5464480874316939,0.04644808743169393,0.0,0.0,0.0,0.0,0.0,
58,59,28,29,6.0,3.0,1.0,2017-04-21,Detroit Tigers,Minnesota Twins,0.46,0.54,1.2,1,0.7,1.0,0.45454545454545453,0.5882352941176471,0.04278074866310155,0.0,0.0,0.0,0.0,0.0,
59,60,22,24,6.0,5.0,1.0,2017-04-21,San Francisco Giants,Colorado Rockies,0.47,0.53,1.0,1,0.83,1.0,0.5,0.5464480874316939,0.04644808743169393,0.0,0.0,0.0,0.0,0.0,
60,61,8,16,13.0,5.0,0.0,2017-04-21,Los Angeles Dodgers,Arizona Diamondbacks,0.47,0.53,1.2,1,0.7,1.0,0.45454545454545453,0.5882352941176471,0.04278074866310155,0.0,0.0,0.0,0.0,0.0,
61,62,23,12,3.0,1.0,1.0,2017-04-21,Seattle Mariners,Oakland Athletics,0.52,0.48,0.75,1,1.1,1.0,0.5714285714285714,0.47619047619047616,0.04761904761904745,0.0,0.0,0.0,0.0,0.0,
62,63,27,14,7.0,8.0,0.0,2017-04-21,Toronto Blue Jays,Los Angeles Angels,0.54,0.46,0.67,1,1.25,1.0,0.5988023952095809,0.4444444444444444,0.043246839654025315,0.0,0.0,0.0,0.0,0.0,
63,64,17,11,5.0,3.0,1.0,2017-04-21,Miami Marlins,San Diego Padres,0.42,0.58,0.95,1,0.85,1.0,0.5128205128205129,0.5405405405405405,0.053361053361053346,0.0,0.0,0.0,0.0,0.0,
64,70,21,4,6.0,3.0,1.0,2017-04-22,Houston Astros,Tampa Bay Rays,0.49,0.51,1.1,2,0.8,1.0,0.47619047619047616,0.5555555555555556,0.03174603174603163,0.0,0.0,0.0,0.0,0.0,
65,73,5,7,0.0,7.0,0.0,2017-04-22,Cleveland Indians,Chicago White Sox,0.36,0.64,1.9,2,0.44,1.0,0.3448275862068966,0.6944444444444444,0.039272030651340994,0.0,0.0,0.0,0.0,0.0,
66,90,27,14,2.0,6.0,0.0,2017-04-23,Toronto Blue Jays,Los Angeles Angels,0.49,0.51,1.1,2,0.8,1.0,0.47619047619047616,0.5555555555555556,0.03174603174603163,0.0,0.0,0.0,0.0,0.0,
68,106,30,1,0.0,1.0,0.0,2017-04-25,Chicago Cubs,Pittsburgh Pirates,0.4,0.6,1.15,2,0.75,1.0,0.46511627906976744,0.5714285714285714,0.03654485049833878,0.0,0.0,0.0,0.0,0.0,
69,117,5,20,5.0,2.0,1.0,2017-04-26,Kansas City Royals,Chicago White Sox,0.6,0.4,0.74,2,1.25,1.0,0.5747126436781609,0.4444444444444444,0.019157088122605304,0.0,0.0,0.0,0.0,0.0,
70,129,24,16,4.0,3.0,1.0,2017-04-26,Los Angeles Dodgers,San Francisco Giants,0.52,0.48,0.95,2,0.91,1.0,0.5128205128205129,0.5235602094240838,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
71,134,22,15,5.0,16.0,1.0,2017-04-27,Washington Nationals,Colorado Rockies,0.47,0.53,1.05,2,0.85,1.0,0.48780487804878053,0.5405405405405405,0.028345418589321048,0.0,0.0,0.0,0.0,0.0,
72,144,18,1,5.0,4.0,1.0,2017-04-28,Chicago Cubs,Boston Red Sox,0.45,0.55,0.91,2,0.95,1.0,0.5235602094240838,0.5128205128205129,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
73,146,29,5,3.0,7.0,0.0,2017-04-28,Chicago White Sox,Detroit Tigers,0.57,0.43,0.83,2,1.1,1.0,0.5464480874316939,0.47619047619047616,0.022638563622169983,0.0,0.0,0.0,0.0,0.0,
74,147,11,30,2.0,12.0,1.0,2017-04-28,Pittsburgh Pirates,Miami Marlins,0.53,0.47,0.87,2,1.0,1.0,0.53475935828877,0.5,0.03475935828876997,0.0,0.0,0.0,0.0,0.0,
75,148,13,27,3.0,6.0,0.0,2017-04-28,Los Angeles Angels,Texas Rangers,0.52,0.48,1.05,2,0.83,1.0,0.48780487804878053,0.5464480874316939,0.03425296548047441,0.0,0.0,0.0,0.0,0.0,
76,163,2,6,4.0,5.0,0.0,2017-04-30,Cincinnati Reds,St. Louis Cardinals,0.59,0.41,0.95,2,0.91,1.0,0.5128205128205129,0.5235602094240838,0.03638072224459665,0.1584210526315789,0.0,35.0,-35.0,-0.03271792474877308,home
77,174,25,9,5.0,7.0,0.0,2017-05-01,New York Mets,Atlanta Braves,0.56,0.44,1.15,2,0.75,1.0,0.46511627906976744,0.5714285714285714,0.03654485049833878,0.17739130434782616,0.0,35.0,-35.0,-0.03382459531287751,home
78,176,4,13,6.0,2.0,1.0,2017-05-01,Texas Rangers,Houston Astros,0.65,0.35,0.87,2,1.0,1.0,0.53475935828877,0.5,0.03475935828876997,0.2477011494252874,0.0,50.0,43.5,0.04351087771942986,home
82,192,10,14,8.0,6.0,1.0,2017-05-03,Toronto Blue Jays,New York Yankees,0.56,0.44,0.91,1,0.91,1.0,0.5235602094240838,0.5235602094240838,0.04712041884816753,0.0,0.0,0.0,0.0,0.0,
83,193,15,8,2.0,1.0,1.0,2017-05-03,Arizona Diamondbacks,Washington Nationals,0.59,0.41,0.74,2,1.2,1.0,0.5747126436781609,0.45454545454545453,0.02925809822361547,0.0,0.0,0.0,0.0,0.0,
84,195,6,30,7.0,2.0,1.0,2017-05-03,Pittsburgh Pirates,Cincinnati Reds,0.42,0.58,1.15,2,0.75,1.0,0.46511627906976744,0.5714285714285714,0.03654485049833878,0.0,0.0,0.0,0.0,0.0,
85,204,17,22,3.0,11.0,1.0,2017-05-03,Colorado Rockies,San Diego Padres,0.47,0.53,1.15,2,0.75,1.0,0.46511627906976744,0.5714285714285714,0.03654485049833878,0.0,0.0,0.0,0.0,0.0,
86,205,12,27,8.0,7.0,1.0,2017-05-03,Los Angeles Angels,Seattle Mariners,0.55,0.45,0.91,2,1.0,1.0,0.5235602094240838,0.5,0.023560209424083656,0.0,0.0,0.0,0.0,0.0,
87,212,17,22,2.0,3.0,0.0,2017-05-04,Colorado Rockies,San Diego Padres,0.49,0.51,0.8,2,1.1,1.0,0.5555555555555556,0.47619047619047616,0.03174603174603163,0.0,0.0,0.0,0.0,0.0,
88,214,21,11,5.0,1.0,1.0,2017-05-04,Miami Marlins,Tampa Bay Rays,0.51,0.49,0.77,2,1.15,1.0,0.5649717514124294,0.46511627906976744,0.03008803048219688,0.0,0.0,0.0,0.0,0.0,
89,219,26,15,2.0,4.0,0.0,2017-05-05,Washington Nationals,Philadelphia Phillies,0.36,0.64,1.5,2,0.62,1.0,0.4,0.6172839506172839,0.01728395061728394,0.0,0.0,0.0,0.0,0.0,
90,227,23,29,2.0,7.0,0.0,2017-05-05,Detroit Tigers,Oakland Athletics,0.48,0.52,0.87,2,1.0,1.0,0.53475935828877,0.5,0.03475935828876997,0.0,0.0,0.0,0.0,0.0,
91,232,21,14,6.0,1.0,1.0,2017-05-06,Toronto Blue Jays,Tampa Bay Rays,0.51,0.49,0.87,2,1.0,1.0,0.53475935828877,0.5,0.03475935828876997,0.0,0.0,0.0,0.0,0.0,
92,235,26,15,2.0,6.0,0.0,2017-05-06,Washington Nationals,Philadelphia Phillies,0.45,0.55,0.91,2,0.95,1.0,0.5235602094240838,0.5128205128205129,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
94,239,9,11,11.0,3.0,0.0,2017-05-06,Miami Marlins,New York Mets,0.52,0.48,0.83,1,1.0,1.0,0.5464480874316939,0.5,0.04644808743169393,0.0,0.0,0.0,0.0,0.0,
95,240,1,10,6.0,11.0,1.0,2017-05-06,New York Yankees,Chicago Cubs,0.54,0.46,0.74,2,1.2,1.0,0.5747126436781609,0.45454545454545453,0.02925809822361547,0.0,0.0,0.0,0.0,0.0,
96,243,27,4,2.0,1.0,1.0,2017-05-06,Houston Astros,Los Angeles Angels,0.44,0.56,1.15,2,0.75,1.0,0.46511627906976744,0.5714285714285714,0.03654485049833878,0.0,0.0,0.0,0.0,0.0,
97,246,21,14,1.0,2.0,0.0,2017-05-07,Toronto Blue Jays,Tampa Bay Rays,0.58,0.42,0.74,2,1.2,1.0,0.5747126436781609,0.45454545454545453,0.02925809822361547,0.0,0.0,0.0,0.0,0.0,
98,247,25,2,4.0,6.0,0.0,2017-05-07,St. Louis Cardinals,Atlanta Braves,0.49,0.51,1.1,2,0.8,1.0,0.47619047619047616,0.5555555555555556,0.03174603174603163,0.0,0.0,0.0,0.0,0.0,
99,248,19,5,4.0,0.0,1.0,2017-05-07,Chicago White Sox,Baltimore Orioles,0.55,0.45,0.83,2,1.05,1.0,0.5464480874316939,0.48780487804878053,0.03425296548047441,0.0,0.0,0.0,0.0,0.0,
100,251,20,7,0.0,1.0,0.0,2017-05-07,Cleveland Indians,Kansas City Royals,0.46,0.54,0.95,2,0.91,1.0,0.5128205128205129,0.5235602094240838,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
101,252,26,15,6.0,5.0,1.0,2017-05-07,Washington Nationals,Philadelphia Phillies,0.42,0.58,1.2,2,0.75,1.0,0.45454545454545453,0.5714285714285714,0.025974025974025983,0.0,0.0,0.0,0.0,0.0,
102,254,27,4,3.0,5.0,0.0,2017-05-07,Houston Astros,Los Angeles Angels,0.5,0.5,0.91,2,0.95,1.0,0.5235602094240838,0.5128205128205129,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
103,255,23,29,8.0,6.0,1.0,2017-05-07,Detroit Tigers,Oakland Athletics,0.48,0.52,0.91,2,0.95,1.0,0.5235602094240838,0.5128205128205129,0.03638072224459665,0.0,0.0,0.0,0.0,0.0,
104,256,6,24,4.0,0.0,1.0,2017-05-07,San Francisco Giants,Cincinnati Reds,0.49,0.51,1.0,2,0.85,1.0,0.5,0.5405405405405405,0.04054054054054035,0.0,0.0,0.0,0.0,0.0,
105,258,1,10,4.0,5.0,0.0,2017-05-07,New York Yankees,Chicago Cubs,0.63,0.37,0.77,2,1.15,1.0,0.5649717514124294,0.46511627906976744,0.03008803048219688,0.14948051948051952,0.0,30.0,-30.0,-0.02875629043853343,home
106,262,6,10,4.0,10.0,1.0,2017-05-08,New York Yankees,Cincinnati Reds,0.41,0.59,1.25,2,0.7,1.0,0.4444444444444444,0.5882352941176471,0.03267973856209139,0.0,0.0,0.0,0.0,0.0,
107,263,11,2,4.0,9.0,0.0,2017-05-08,St. Louis Cardinals,Miami Marlins,0.5,0.5,1.05,2,0.83,1.0,0.48780487804878053,0.5464480874316939,0.03425296548047441,0.0,0.0,0.0,0.0,0.0,
