id,homeTeamId,awayTeamId,homeTeamRuns,awayTeamRuns,homeTeamWin,date,awayName,homeName,538home,538away,exchangeHomePrice,bestHomeExchangeId,exchangeAwayPrice,bestAwayExchangeId
69,30,10,5.0,11.0,1.0,2017-04-22,New York Yankees,Pittsburgh Pirates,0.530000,0.470000,1.00,2,0.83,2
71,19,18,4.0,2.0,1.0,2017-04-22,Boston Red Sox,Baltimore Orioles,0.500000,0.500000,0.87,2,0.95,2
72,26,25,4.0,3.0,1.0,2017-04-22,Atlanta Braves,Philadelphia Phillies,0.570000,0.430000,0.83,2,1.00,2
74,3,2,1.0,4.0,0.0,2017-04-22,St. Louis Cardinals,Milwaukee Brewers,0.520000,0.480000,1.05,2,0.80,2
75,13,20,2.0,1.0,1.0,2017-04-22,Kansas City Royals,Texas Rangers,0.510000,0.490000,0.91,1,0.95,2
76,8,16,11.0,5.0,0.0,2017-04-22,Los Angeles Dodgers,Arizona Diamondbacks,0.490000,0.510000,1.00,2,0.83,2
77,22,24,12.0,3.0,0.0,2017-04-22,San Francisco Giants,Colorado Rockies,0.500000,0.500000,0.87,2,0.95,2
78,17,11,3.0,6.0,0.0,2017-04-22,Miami Marlins,San Diego Padres,0.440000,0.560000,1.20,2,0.71,2
79,27,14,5.0,4.0,1.0,2017-04-22,Toronto Blue Jays,Los Angeles Angels,0.560000,0.440000,0.65,2,1.35,2
88,13,20,5.0,2.0,1.0,2017-04-23,Kansas City Royals,Texas Rangers,0.650000,0.350000,0.44,2,1.85,2
89,22,24,8.0,0.0,1.0,2017-04-23,San Francisco Giants,Colorado Rockies,0.480000,0.520000,0.87,2,0.95,2
91,23,12,1.0,11.0,0.0,2017-04-23,Seattle Mariners,Oakland Athletics,0.540000,0.460000,0.75,1,1.15,2
92,8,16,2.0,6.0,0.0,2017-04-23,Los Angeles Dodgers,Arizona Diamondbacks,0.480000,0.520000,1.35,2,0.65,2
93,17,11,3.0,7.0,0.0,2017-04-23,Miami Marlins,San Diego Padres,0.460000,0.540000,1.00,2,0.83,2
94,9,15,3.0,6.0,0.0,2017-04-23,Washington Nationals,New York Mets,0.420000,0.580000,1.40,2,0.63,2
95,30,1,3.0,14.0,1.0,2017-04-24,Chicago Cubs,Pittsburgh Pirates,0.510000,0.490000,1.25,2,0.69,2
96,19,21,6.0,3.0,1.0,2017-04-24,Tampa Bay Rays,Baltimore Orioles,0.510000,0.490000,1.05,1,0.87,2
97,3,6,11.0,7.0,0.0,2017-04-24,Cincinnati Reds,Milwaukee Brewers,0.490000,0.510000,1.00,1,0.87,2
98,13,28,2.0,3.0,0.0,2017-04-24,Minnesota Twins,Texas Rangers,0.590000,0.410000,0.71,2,1.20,2
99,5,20,12.0,1.0,1.0,2017-04-24,Kansas City Royals,Chicago White Sox,0.560000,0.440000,0.95,2,0.87,2
100,22,15,8.0,4.0,1.0,2017-04-24,Washington Nationals,Colorado Rockies,0.500000,0.500000,0.71,2,1.20,2
101,8,17,7.0,6.0,1.0,2017-04-24,San Diego Padres,Arizona Diamondbacks,0.630000,0.370000,0.62,1,1.45,2
102,27,14,2.0,1.0,1.0,2017-04-24,Toronto Blue Jays,Los Angeles Angels,0.540000,0.460000,0.77,2,1.10,2
104,7,4,2.0,4.0,0.0,2017-04-25,Houston Astros,Cleveland Indians,0.460000,0.540000,0.95,2,0.87,2
105,19,21,0.0,2.0,0.0,2017-04-25,Tampa Bay Rays,Baltimore Orioles,0.530000,0.470000,0.67,1,1.35,2
107,29,12,19.0,9.0,0.0,2017-04-25,Seattle Mariners,Detroit Tigers,0.470000,0.530000,1.15,2,0.74,2
108,3,6,9.0,1.0,1.0,2017-04-25,Cincinnati Reds,Milwaukee Brewers,0.530000,0.470000,0.83,2,1.00,2
109,13,28,1.0,8.0,0.0,2017-04-25,Minnesota Twins,Texas Rangers,0.480000,0.520000,0.91,1,0.95,2
110,5,20,10.0,5.0,0.0,2017-04-25,Kansas City Royals,Chicago White Sox,0.490000,0.510000,1.05,1,0.83,2
111,2,14,5.0,6.0,0.0,2017-04-25,Toronto Blue Jays,St. Louis Cardinals,0.490000,0.510000,0.67,1,1.35,2
112,22,15,12.0,15.0,0.0,2017-04-25,Washington Nationals,Colorado Rockies,0.460000,0.540000,1.00,2,0.83,2
113,8,17,9.0,3.0,1.0,2017-04-25,San Diego Padres,Arizona Diamondbacks,0.590000,0.410000,0.70,1,1.25,2
114,27,23,2.0,1.0,1.0,2017-04-25,Oakland Athletics,Los Angeles Angels,0.540000,0.460000,0.77,2,1.10,2
115,24,16,1.0,2.0,0.0,2017-04-25,Los Angeles Dodgers,San Francisco Giants,0.380000,0.620000,1.90,2,0.87,2
116,3,6,9.0,4.0,1.0,2017-04-26,Cincinnati Reds,Milwaukee Brewers,0.560000,0.440000,0.80,2,1.05,2
118,7,4,7.0,6.0,1.0,2017-04-26,Houston Astros,Cleveland Indians,0.490000,0.510000,0.91,2,0.91,2
119,18,10,1.0,3.0,0.0,2017-04-26,New York Yankees,Boston Red Sox,0.590000,0.410000,0.83,2,1.00,2
120,19,21,5.0,4.0,1.0,2017-04-26,Tampa Bay Rays,Baltimore Orioles,0.560000,0.440000,0.67,2,1.30,2
121,26,11,7.0,4.0,1.0,2017-04-26,Miami Marlins,Philadelphia Phillies,0.460000,0.540000,0.95,2,0.87,2
122,30,1,6.0,5.0,1.0,2017-04-26,Chicago Cubs,Pittsburgh Pirates,0.340000,0.660000,1.40,2,0.63,2
123,29,12,0.0,8.0,0.0,2017-04-26,Seattle Mariners,Detroit Tigers,0.480000,0.520000,1.10,1,0.80,2
124,9,25,2.0,8.0,0.0,2017-04-26,Atlanta Braves,New York Mets,0.610000,0.390000,0.50,2,1.70,2
125,13,28,14.0,3.0,0.0,2017-04-26,Minnesota Twins,Texas Rangers,0.580000,0.420000,0.69,2,1.25,2
126,22,15,4.0,11.0,1.0,2017-04-26,Washington Nationals,Colorado Rockies,0.470000,0.530000,0.91,2,0.91,2
127,8,17,5.0,8.0,0.0,2017-04-26,San Diego Padres,Arizona Diamondbacks,0.590000,0.410000,0.77,2,1.10,2
128,27,23,8.0,5.0,1.0,2017-04-26,Oakland Athletics,Los Angeles Angels,0.540000,0.460000,0.75,1,1.15,2
131,29,12,1.0,2.0,0.0,2017-04-27,Seattle Mariners,Detroit Tigers,0.570000,0.430000,0.69,2,1.25,2
133,2,14,6.0,4.0,1.0,2017-04-27,Toronto Blue Jays,St. Louis Cardinals,0.590000,0.410000,0.48,2,1.75,2
135,24,16,1.0,5.0,0.0,2017-04-27,Los Angeles Dodgers,San Francisco Giants,0.490000,0.510000,1.10,2,0.77,2
136,7,4,4.0,3.0,1.0,2017-04-27,Houston Astros,Cleveland Indians,0.600000,0.400000,0.62,1,1.45,2
137,18,10,0.0,3.0,0.0,2017-04-27,New York Yankees,Boston Red Sox,0.590000,0.410000,0.57,2,1.55,2
138,2,14,,,,2017-04-27,Toronto Blue Jays,St. Louis Cardinals,0.560000,0.440000,0.59,2,1.50,2
139,8,17,6.0,2.0,1.0,2017-04-27,San Diego Padres,Arizona Diamondbacks,0.610000,0.390000,0.57,2,1.55,2
140,27,23,2.0,1.0,1.0,2017-04-27,Oakland Athletics,Los Angeles Angels,0.540000,0.460000,0.80,2,1.05,2
141,10,19,14.0,11.0,1.0,2017-04-28,Baltimore Orioles,New York Yankees,0.560000,0.440000,0.87,2,0.95,2
142,15,9,5.0,7.0,0.0,2017-04-28,New York Mets,Washington Nationals,0.630000,0.370000,0.62,1,1.45,2
143,14,21,4.0,7.0,0.0,2017-04-28,Tampa Bay Rays,Toronto Blue Jays,0.530000,0.470000,0.75,1,1.15,2
145,7,12,1.0,3.0,0.0,2017-04-28,Seattle Mariners,Cleveland Indians,0.620000,0.380000,0.53,1,1.67,2
149,4,23,9.0,4.0,1.0,2017-04-28,Oakland Athletics,Houston Astros,0.610000,0.390000,0.62,1,1.45,2
150,3,25,8.0,10.0,1.0,2017-04-28,Atlanta Braves,Milwaukee Brewers,0.580000,0.420000,0.77,2,1.10,2
151,8,22,1.0,3.0,0.0,2017-04-28,Colorado Rockies,Arizona Diamondbacks,0.590000,0.410000,0.75,1,1.15,2
152,16,26,5.0,3.0,1.0,2017-04-28,Philadelphia Phillies,Los Angeles Dodgers,0.590000,0.410000,0.63,2,1.35,2
153,24,17,4.0,3.0,1.0,2017-04-28,San Diego Padres,San Francisco Giants,0.610000,0.390000,0.59,2,1.50,2
154,10,19,4.0,7.0,0.0,2017-04-30,Baltimore Orioles,New York Yankees,0.530000,0.470000,0.52,2,1.67,2
155,14,21,3.0,1.0,1.0,2017-04-30,Tampa Bay Rays,Toronto Blue Jays,0.520000,0.480000,0.62,1,1.50,2
162,20,28,5.0,7.0,0.0,2017-04-30,Minnesota Twins,Kansas City Royals,0.500000,0.500000,0.50,2,1.70,2
164,13,27,2.0,5.0,0.0,2017-04-30,Los Angeles Angels,Texas Rangers,0.540000,0.460000,0.77,2,1.10,2
165,24,17,2.0,5.0,0.0,2017-04-30,San Diego Padres,San Francisco Giants,0.600000,0.400000,0.57,2,1.55,2
166,8,22,2.0,0.0,1.0,2017-04-30,Colorado Rockies,Arizona Diamondbacks,0.550000,0.450000,1.00,2,0.83,2
167,16,26,5.0,3.0,1.0,2017-04-30,Philadelphia Phillies,Los Angeles Dodgers,0.640000,0.360000,0.74,2,1.15,2
168,18,1,6.0,2.0,1.0,2017-04-30,Chicago Cubs,Boston Red Sox,0.440000,0.560000,0.80,2,1.05,2
