"id","awayPrice","homePrice","exchangeId","gameId"
1365,1.00,0.83,2,3478
1366,1.00,0.83,2,3479
1367,1.10,0.77,2,3480
1368,1.65,0.54,2,3481
1369,0.52,1.67,2,3482
1372,0.80,1.05,2,3485
1373,1.35,0.65,2,3486
1374,0.83,1.00,2,3487
1375,1.10,0.77,2,3488
1377,0.77,1.10,2,3490
1378,1.05,0.80,2,3491
1379,0.80,1.05,2,3492
1380,1.00,0.83,2,3493
1381,1.67,0.52,2,3494
1382,0.95,0.87,2,3495
1383,0.95,0.87,2,3496
1384,0.77,1.10,2,3497
1385,0.44,1.85,2,3498
1386,0.87,0.95,2,3499
1387,0.69,1.25,2,3500
1388,1.05,0.80,2,3501
1389,0.83,1.00,2,3502
1390,0.80,1.05,2,3503
1391,1.20,0.71,2,3504
1392,0.50,1.70,2,3505
1393,1.45,0.61,2,3506
1394,0.74,1.15,2,3507
1396,1.30,0.67,2,3509
1397,1.10,0.77,2,3510
1398,0.91,0.91,2,3511
1399,0.61,1.45,2,3512
1400,0.80,1.05,2,3513
1401,0.74,1.15,2,3514
1402,1.05,0.80,2,3515
1403,0.56,1.60,2,3516
1404,0.95,0.87,2,3517
1405,0.83,1.00,2,3518
1406,0.87,0.95,2,3519
1407,1.05,0.80,2,3520
1408,1.67,0.52,2,3521
1410,0.95,0.87,2,3523
1411,0.50,1.70,2,3524
1412,0.77,1.10,2,3525
1413,0.69,1.25,2,3526
1414,0.67,1.30,2,3527
1415,0.71,1.20,2,3528
1416,0.77,1.10,2,3529
1417,0.87,0.95,2,3530
1418,1.10,0.77,2,3531
1420,1.50,0.59,2,3533
1421,0.71,1.20,2,3534
1422,1.05,0.80,2,3535
1423,0.83,1.00,2,3536
1424,1.05,0.80,2,3537
1425,0.69,1.20,2,3538
1426,1.20,0.71,2,3539
1427,0.91,0.91,2,3540
1428,1.10,0.77,2,3541
1429,0.95,0.87,2,3542
1430,0.80,1.05,2,3543
1443,0.95,0.86,2,3542
1444,1.10,0.76,2,3541
1445,1.50,0.58,2,3545
1446,1.35,0.64,2,3544
1448,0.90,0.90,2,3546
1449,1.20,0.71,2,3547
1450,1.70,0.50,2,3548
1451,0.66,1.30,2,3549
1452,0.71,1.20,2,3550
1453,0.83,1.00,2,3551
1454,1.67,0.52,2,3552
1455,0.74,1.15,2,3553
1456,1.80,0.45,2,3555
1457,0.83,1.00,2,3554
1458,0.83,1.00,2,3556
1459,1.45,0.60,2,3557
1460,0.95,0.86,2,3558
1461,0.95,0.86,2,3560
1462,1.30,0.66,2,3559
1463,1.40,0.62,2,3563
1464,1.15,0.74,2,3562
1465,0.80,1.05,2,3561
1466,1.10,0.76,2,3564
1467,1.80,0.45,2,3565
1468,1.40,0.62,2,3566
1469,1.15,0.74,2,3567
1470,0.58,1.50,2,3568
1471,1.75,0.47,2,3569
1472,1.00,0.83,2,3570
1473,0.90,0.90,2,3571
1474,1.60,0.55,2,3572
1475,0.83,1.00,2,3573
1476,1.25,0.68,2,3574
1477,1.35,0.64,2,3577
1478,1.00,0.83,2,3575
1479,1.15,0.74,2,3576
1480,1.50,0.58,2,3578
1481,1.05,0.80,2,3579
1482,1.55,0.57,2,3580
1483,0.50,1.70,2,3581
1484,1.10,0.76,2,3582
1486,0.95,0.86,2,3584
1487,1.55,0.57,2,3585
1488,2.10,0.40,2,3587
1489,1.25,0.68,2,3586
1490,0.95,0.86,2,3588
1491,1.15,0.74,2,3590
1492,0.80,1.05,2,3589
1493,1.65,0.54,2,3591
1494,1.50,0.58,2,3592
1495,1.20,0.71,2,3593
1496,1.70,0.50,2,3594
1497,0.95,0.86,2,3595
1498,0.80,1.05,2,3596
1499,0.86,0.95,2,3597
1500,1.55,0.57,2,3598
1509,0.86,0.95,2,3599
1517,1.05,0.80,2,3600
1518,2.00,0.41,2,3601
1519,0.95,0.86,2,3602
1520,0.86,0.95,2,3603
1521,1.30,0.66,2,3604
1522,0.83,1.00,2,3606
1523,1.60,0.55,2,3605
1524,1.00,0.83,2,3600
1525,0.74,1.15,2,3599
1526,1.95,0.42,2,3611
1527,1.80,0.45,2,3610
1528,1.70,0.50,2,3609
1529,2.15,0.38,2,3613
1530,1.35,0.64,2,3612
1531,0.80,1.05,2,3614
1547,1.70,0.50,2,3631
1548,1.60,0.55,2,3632
1549,1.25,0.68,2,3634
1550,0.95,0.86,2,3633
1551,1.60,0.55,2,3635
1552,1.20,0.71,2,3636
1553,1.55,0.57,2,3637
1554,0.95,0.86,2,3638
1556,1.55,0.57,2,3641
1557,1.30,0.66,2,3640
1558,1.40,0.62,2,3642
1559,1.00,0.83,2,3643
1560,1.40,0.62,2,3644
1561,1.95,0.42,2,3646
1562,1.30,0.66,2,3645
1563,1.25,0.68,2,3648
1564,1.90,0.43,2,3647
1565,0.90,0.90,2,3649
1566,1.10,0.76,2,3651
1567,0.95,0.86,2,3650
1568,0.68,1.25,2,3652
1569,1.05,0.80,2,3653
1570,1.40,0.62,2,3654
1571,1.67,0.52,2,3656
1572,1.00,0.83,2,3655
1573,1.35,0.64,2,3657
1574,0.90,0.90,2,3660
1575,0.74,1.15,2,3662
1576,0.62,1.40,2,3659
1577,1.05,0.80,2,3661
1578,2.15,0.38,2,3658
1579,0.86,0.95,2,3663
1580,0.95,0.86,2,3665
